Mask_Type,Lead,Model,MAE,RMSE,PCC,PRD
C4,aVF,Your Model (with Attention),0.09434,0.14486,0.66499,22.489
C4,V1,ECGRecover (Baseline),0.07426,0.12084,0.88594,20.295
C4,V1,Your Model (with Attention),0.06894,0.09533,0.92824,15.902
C4,V2,ECGRecover (Baseline),0.09201,0.14282,0.96659,22.636
C4,V2,Your Model (with Attention),0.06284,0.10621,0.95979,17.748
C4,V3,ECGRecover (Baseline),0.09268,0.15515,0.88378,26.712
C4,V3,Your Model (with Attention),0.07321,0.13707,0.90357,20.945
C4,V4,ECGRecover (Baseline),0.07904,0.1349,0.96345,21.781
C4,V4,Your Model (with Attention),0.05787,0.09974,0.9671,17.078
C4,V5,ECGRecover (Baseline),0.07547,0.11643,0.95943,20.226
C4,V5,Your Model (with Attention),0.06569,0.10983,0.96844,15.848
C4,V6,ECGRecover (Baseline),0.07659,0.12731,0.96432,21.836
C4,V6,Your Model (with Attention),0.06661,0.11641,0.96298,17.111
C5,Overall,ECGRecover (Baseline),0.08257,0.13639,0.94152,19.808
C5,Overall,Your Model (with Attention),0.0758,0.11073,0.93707,15.792
C5,I,ECGRecover (Baseline),0.09058,0.13432,0.96985,19.666
C5,I,Your Model (with Attention),0.06301,0.10402,0.9621,15.702
C5,II,ECGRecover (Baseline),0.09362,0.14725,0.96964,20.691
C5,II,Your Model (with Attention),0.08092,0.12009,0.95729,16.503
C5,III,ECGRecover (Baseline),0.09061,0.13853,0.91174,21.751
C5,III,Your Model (with Attention),0.07919,0.11657,0.929,17.364
C5,aVR,ECGRecover (Baseline),0.09176,0.13591,0.86169,21.313
C5,aVR,Your Model (with Attention),0.07976,0.12452,0.86734,17.014
C5,aVL,ECGRecover (Baseline),0.09386,0.15916,0.55673,23.094
C5,aVL,Your Model (with Attention),0.08063,0.13604,0.57834,18.425
C5,aVF,ECGRecover (Baseline),0.08804,0.15648,0.65842,23.183
C5,aVF,Your Model (with Attention),0.0793,0.12329,0.67767,18.498
C5,V1,ECGRecover (Baseline),0.07351,0.11264,0.91029,16.407
C5,V1,Your Model (with Attention),0.05529,0.09212,0.91405,13.091
C5,V2,ECGRecover (Baseline),0.0817,0.13186,0.96226,18.299
C5,V2,Your Model (with Attention),0.06057,0.11025,0.96256,14.589
C5,V3,ECGRecover (Baseline),0.08404,0.14125,0.88506,21.598
C5,V3,Your Model (with Attention),0.07467,0.11255,0.92662,17.226
C5,V4,ECGRecover (Baseline),0.0685,0.12498,0.96671,17.613
C5,V4,Your Model (with Attention),0.05346,0.10131,0.95916,14.059
C5,V5,ECGRecover (Baseline),0.06558,0.11414,0.9602,16.338
C5,V5,Your Model (with Attention),0.0658,0.09005,0.95669,13.048
C5,V6,ECGRecover (Baseline),0.06781,0.10776,0.96715,17.655
C5,V6,Your Model (with Attention),0.06441,0.10512,0.96132,14.083
